hrmonth,hryear4,pwsswgt,prtage,pemlr,peeduca,gestfips
10,2019,21468650,13,-1,-1,1
10,2019,17008830,6,-1,-1,1
10,2019,18536113,79,6,40,1
10,2019,5225414,4,-1,-1,2
10,2019,22927988,24,7,45,1
10,2019,17567738,40,1,45,1
10,2019,4818645,20,1,39,2
10,2019,4462827,85,5,43,2
10,2019,17268323,50,1,39,1
10,2019,18122487,54,1,40,1
10,2019,15190368,77,5,44,1
10,2019,4424594,44,1,40,2
10,2019,28905365,25,1,42,1
10,2019,17817254,2,-1,-1,1
10,2019,21540702,5,-1,-1,1
10,2019,-1,-1,-1,-1,1
10,2019,19442487,80,6,37,1
10,2019,0,33,-1,40,1
10,2019,19209928,5,-1,-1,1
10,2019,19848644,66,5,39,1
10,2019,16670394,74,5,44,1
10,2019,25313721,17,7,37,1
10,2019,18659065,19,1,39,1
10,2019,4819005,34,1,44,2
10,2019,-1,-1,-1,-1,1
10,2019,21021830,29,1,43,1
10,2019,-1,-1,-1,-1,1
10,2019,4470967,63,5,43,2
10,2019,23725511,8,-1,-1,1
10,2019,15755733,75,5,42,1
10,2019,5407356,44,1,43,2
10,2019,6008406,13,-1,-1,2
10,2019,18402579,10,-1,-1,1
10,2019,14494401,11,-1,-1,1
10,2019,24885843,1,-1,-1,1
10,2019,4417226,61,7,39,2
10,2019,23826801,47,1,39,1
10,2019,18536113,80,6,40,1
10,2019,23275413,0,-1,-1,1
10,2019,15437219,85,6,39,1
10,2019,-1,-1,-1,-1,1
10,2019,18566561,51,1,39,1
10,2019,4966888,60,1,43,2
10,2019,7223536,50,1,41,2
10,2019,24128639,15,7,34,1
10,2019,18333803,43,1,42,1
10,2019,28892818,21,1,40,1
10,2019,5303387,21,1,39,2
10,2019,20580661,49,1,39,1
10,2019,23495814,20,1,41,1
10,2019,17941949,73,5,44,1
10,2019,18026296,76,5,44,1
10,2019,-1,-1,-1,-1,1
10,2019,18094766,6,-1,-1,1
10,2019,20604150,37,1,44,1
10,2019,-1,-1,-1,-1,2
10,2019,16895011,54,1,40,1
10,2019,4769193,1,-1,-1,2
10,2019,-1,-1,-1,-1,2
10,2019,4386297,26,1,42,2
10,2019,17943979,35,1,43,1
10,2019,17523820,54,1,44,1
10,2019,20787109,39,1,39,1
10,2019,15182500,74,5,40,1
10,2019,9806311,15,7,35,1
10,2019,15547849,65,5,40,1
10,2019,18583926,40,1,43,1
10,2019,17235808,73,5,39,1
10,2019,25076391,46,1,43,1
10,2019,26229280,22,1,39,1
10,2019,13639050,9,-1,-1,1
10,2019,5984887,38,1,43,2
10,2019,21366571,18,1,40,1
10,2019,-1,-1,-1,-1,1
10,2019,5018122,22,1,40,2
10,2019,4534446,63,1,44,2
10,2019,21760223,50,1,39,1
10,2019,22194961,19,1,39,1
10,2019,4551443,61,1,43,2
10,2019,5053658,56,1,41,2
10,2019,18840032,51,5,39,1
10,2019,19617694,8,-1,-1,1
10,2019,17268323,54,1,44,1
10,2019,-1,-1,-1,-1,1
10,2019,23723776,18,1,38,1
10,2019,17667117,60,6,39,1
10,2019,-1,-1,-1,-1,1
10,2019,18129637,36,1,39,1
10,2019,19016162,42,1,40,1
10,2019,15924890,73,1,44,1
10,2019,19748943,47,1,39,1
10,2019,18248014,63,5,39,1
10,2019,-1,-1,-1,-1,1
10,2019,20604150,35,1,43,1
10,2019,14883284,76,5,40,1
10,2019,19139031,14,-1,-1,1
10,2019,17685505,75,5,43,1
10,2019,3826371,73,5,46,2
10,2019,-1,-1,-1,-1,2
10,2019,4947060,13,-1,-1,2
10,2019,18678627,34,1,39,1
10,2019,21468288,21,1,40,1
10,2019,3963128,42,7,39,2
10,2019,35723355,69,1,43,4
10,2019,21332598,80,5,39,1
10,2019,16190752,66,6,44,1
10,2019,15483138,16,1,36,1
10,2019,20795230,41,7,42,1
10,2019,16139183,80,5,39,1
10,2019,-1,-1,-1,-1,1
10,2019,-1,-1,-1,-1,1
10,2019,5024820,59,1,39,2
10,2019,20861460,25,7,40,1
10,2019,27328631,13,-1,-1,1
10,2019,-1,-1,-1,-1,2
10,2019,7729817,8,-1,-1,2
10,2019,20232976,49,1,43,1
10,2019,16154956,58,1,43,1
10,2019,-1,-1,-1,-1,1
10,2019,4066168,63,1,39,2
10,2019,22065798,19,7,40,1
10,2019,18550286,85,5,39,1
10,2019,18200618,65,5,41,1
10,2019,20255260,2,-1,-1,1
10,2019,17957374,29,1,42,1
10,2019,17105527,73,5,44,1
10,2019,5211505,7,-1,-1,2
10,2019,4306849,44,1,39,2
10,2019,22710483,12,-1,-1,1
10,2019,16360536,53,1,43,1
10,2019,5691143,29,1,43,2
10,2019,4894188,13,-1,-1,2
10,2019,3859310,78,5,39,2
10,2019,-1,-1,-1,-1,2
10,2019,4483965,53,1,40,2
